noise_type,f_carrier_hz,sigma_y_ref,n,descriptor,mean,std,median,p05,p25,p75,p95
white_FM,7000000.0,1e-09,500,residual_frequency_rms_hz,0.006904644964872938,0.000496792490769654,0.006862226013739164,0.0061492010075949195,0.006577502098784561,0.007229923321333196,0.0077677868774530465
white_FM,7000000.0,1e-09,500,residual_max_abs_frequency_hz,0.019283652452772068,0.0027926070559590806,0.018924094958334706,0.015499467035157366,0.017236620240414873,0.020906850700385112,0.024274325263363445
white_FM,7000000.0,1e-09,500,residual_peak_to_peak_hz,0.0355022510980228,0.004223953508108435,0.03520494486149797,0.029335618675272238,0.03242602957736944,0.03813129034737694,0.043130535062167345
white_FM,7000000.0,1e-09,500,max_abs_phase_rad,0.2814994521734532,0.06904152890052294,0.274738846462898,0.18094172258242355,0.23354099828285732,0.3224320419712574,0.4068452723209137
white_FM,7000000.0,1e-09,500,phase_rms_rad,0.11801224323895237,0.035483564939447494,0.11300826073542618,0.07043317102143468,0.09398065539179648,0.13591958095728582,0.18459993842342284
white_FM,7000000.0,1e-09,500,fitted_constant_hz,-2.7557954980705382e-05,0.0007625073014673095,-1.3328775654619637e-05,-0.001268313849230653,-0.0005290236865079279,0.0004594781999232639,0.001184609909567483
white_FM,7000000.0,1e-09,500,fitted_linear_coefficient,-4.428547668145702e-05,0.0011876071250044194,-1.974487206071591e-05,-0.002067819700022378,-0.0008639578840789363,0.0008742592431808996,0.0017614290305014264
white_FM,7000000.0,3e-09,500,frequency_rms_hz,0.020940210632366733,0.0015022557004736247,0.020856795309811525,0.018600964692167217,0.01991938173778577,0.021919076913260116,0.02342714961381235
white_FM,7000000.0,3e-09,500,max_abs_frequency_hz,0.05838555103968467,0.00814568783509193,0.057532318851998485,0.04667883547071145,0.05242930077439727,0.06307073774639442,0.07360158772343561
white_FM,7000000.0,3e-09,500,peak_to_peak_hz,0.10700146286922513,0.012611625428857466,0.10603764371499402,0.08838719477956242,0.0980646937908641,0.1149702964817437,0.1304309691037888
white_FM,7000000.0,3e-09,500,residual_frequency_rms_hz,0.020713934894618813,0.0014903774723089617,0.020586678041217492,0.018447603022784757,0.01973250629635368,0.021689769963999586,0.02330336063235914
white_FM,7000000.0,3e-09,500,residual_max_abs_frequency_hz,0.0578509573583162,0.008377821167877242,0.05677228487500412,0.04649840110547209,0.0517098607212446,0.06272055210115533,0.07282297579009032
white_FM,7000000.0,3e-09,500,residual_peak_to_peak_hz,0.10650675329406838,0.012671860524325302,0.1056148345844939,0.0880068560258167,0.09727808873210829,0.11439387104213078,0.129391605186502
